index,Group,score1,score1/100
237,Audio-only,33.333334,0.33333334
238,Audio-only,44.444445,0.44444445
239,Audio-only,22.222222,0.22222222
240,Audio-only,22.222222,0.22222222
241,Audio-only,0,0
242,Audio-only,22.222222,0.22222222
243,Audio-only,44.444445,0.44444445
244,Audio-only,11.111111,0.11111111
245,Audio-only,22.222222,0.22222222
246,Audio-only,22.222222,0.22222222
247,Audio-only,44.444445,0.44444445
248,Audio-only,22.222222,0.22222222
249,Audio-only,11.111111,0.11111111
250,Audio-only,33.333334,0.33333334
251,Visual-only,33.333334,0.33333334
252,Visual-only,44.444445,0.44444445
253,Visual-only,22.222222,0.22222222
254,Visual-only,22.222222,0.22222222
255,Visual-only,22.222222,0.22222222
256,Visual-only,22.222222,0.22222222
257,Visual-only,33.333334,0.33333334
258,Visual-only,44.444445,0.44444445
259,Visual-only,44.444445,0.44444445
260,Visual-only,44.444445,0.44444445
261,Visual-only,44.444445,0.44444445
262,Visual-only,33.333334,0.33333334
263,Visual-only,44.444445,0.44444445
264,Visual-only,44.444445,0.44444445
265,Visual-only,44.444445,0.44444445
266,Visual-only,55.555558,0.55555558
267,Visual-only,33.333334,0.33333334
268,Visual-only,33.333334,0.33333334
269,Visual-only,33.333334,0.33333334
270,Visual-only,22.222222,0.22222222
271,Visual-only,33.333334,0.33333334
272,Visual-only,55.555558,0.55555558
273,Visual-only,44.444445,0.44444445
274,Visual-only,22.222222,0.22222222
275,Visual-only,44.444445,0.44444445
276,Visual-only,44.444445,0.44444445
277,Visual-only,22.222222,0.22222222
278,Visual-only,22.222222,0.22222222
279,Visual-only,22.222222,0.22222222
280,Visual-only,22.222222,0.22222222
281,Visual-only,55.555558,0.55555558
282,Visual-only,44.444445,0.44444445
283,Visual-only,55.555558,0.55555558
284,Visual-only,55.555558,0.55555558
285,Visual-only,33.333334,0.33333334
286,Visual-only,22.222222,0.22222222
287,Visual-only,55.555558,0.55555558
288,Visual-only,66.666669,0.66666669
289,Visual-only,22.222222,0.22222222
290,Visual-only,44.444445,0.44444445
291,Visual-only,11.111111,0.11111111
292,Visual-only,44.444445,0.44444445
293,Visual-only,77.777779,0.77777779
294,Visual-only,33.333334,0.33333334
295,Visual-only,22.222222,0.22222222
296,Visual-only,33.333334,0.33333334
297,Visual-only,44.444445,0.44444445
298,Visual-only,44.444445,0.44444445
299,Visual-only,22.222222,0.22222222
300,Visual-only,22.222222,0.22222222
301,Visual-only,22.222222,0.22222222
302,Visual-only,33.333334,0.33333334
303,Visual-only,44.444445,0.44444445
304,Visual-only,77.777779,0.77777779
305,Visual-only,44.444445,0.44444445
306,Visual-only,11.111111,0.11111111
307,Visual-only,22.222222,0.22222222
308,Visual-only,100,1
309,Visual-only,33.333334,0.33333334
310,Visual-only,22.222222,0.22222222
311,Visual-only,11.111111,0.11111111
312,Visual-only,33.333334,0.33333334
313,Visual-only,11.111111,0.11111111
314,Visual-only,66.666669,0.66666669
315,Visual-only,11.111111,0.11111111
316,Visual-only,22.222222,0.22222222
317,Visual-only,44.444445,0.44444445
318,Visual-only,33.333334,0.33333334
319,Visual-only,55.555558,0.55555558
320,Visual-only,44.444445,0.44444445
321,Visual-only,33.333334,0.33333334
322,Visual-only,77.777779,0.77777779
323,Visual-only,33.333334,0.33333334
324,Visual-only,55.555558,0.55555558
325,Visual-only,33.333334,0.33333334
326,Visual-only,55.555558,0.55555558
327,Visual-only,33.333334,0.33333334
328,Visual-only,33.333334,0.33333334
329,Visual-only,44.444445,0.44444445
330,Visual-only,22.222222,0.22222222
331,Visual-only,22.222222,0.22222222
332,Visual-only,33.333334,0.33333334
333,Visual-only,33.333334,0.33333334
334,Visual-only,44.444445,0.44444445
335,Visual-only,55.555558,0.55555558
336,Visual-only,33.333334,0.33333334
337,Visual-only,55.555558,0.55555558
338,Visual-only,55.555558,0.55555558
339,Visual-only,55.555558,0.55555558
340,Visual-only,44.444445,0.44444445
341,Visual-only,44.444445,0.44444445
342,Visual-only,22.222222,0.22222222
343,Visual-only,44.444445,0.44444445
344,Visual-only,55.555558,0.55555558
345,Visual-only,44.444445,0.44444445
346,Visual-only,22.222222,0.22222222
347,Visual-only,66.666669,0.66666669
348,Visual-only,22.222222,0.22222222
349,Visual-only,77.777779,0.77777779
350,Visual-only,55.555558,0.55555558
351,Visual-only,22.222222,0.22222222
352,Visual-only,22.222222,0.22222222
353,Visual-only,44.444445,0.44444445
354,Visual-only,44.444445,0.44444445
355,Visual-only,44.444445,0.44444445
356,Visual-only,33.333334,0.33333334
357,Visual-only,44.444445,0.44444445
358,Visual-only,33.333334,0.33333334
359,Visual-only,11.111111,0.11111111
360,Visual-only,33.333334,0.33333334
361,Visual-only,22.222222,0.22222222
362,Visual-only,33.333334,0.33333334
363,Visual-only,22.222222,0.22222222
364,Visual-only,44.444445,0.44444445
365,Visual-only,44.444445,0.44444445
366,Visual-only,33.333334,0.33333334
367,Visual-only,33.333334,0.33333334
368,Visual-only,33.333334,0.33333334
369,Visual-only,66.666669,0.66666669
370,Visual-only,11.111111,0.11111111
371,Visual-only,33.333334,0.33333334
372,Visual-only,22.222222,0.22222222
373,Visual-only,44.444445,0.44444445
374,Visual-only,88.88889,0.8888889
375,Visual-only,44.444445,0.44444445
