"participant_id","data_id","order","answer","score","instrument","domain","varcond","competition"
2,3,"a",1,1,"Piano","Audio-only","low-variance","International Franz Liszt Piano Competition"
2,37,"b",2,1,"Tsugaru shamisen","Visual-only","high-variance","International Biwako Tsugaru shamisen Competion"
2,42,"b",2,1,"Piano (additional)","Audio-only","low-variance","Cleveland International Piano Competition"
2,1,"b",2,1,"Piano","Audio-only","low-variance","Van Cliburn International Piano Competition"
2,11,"a",1,1,"Piano","Visual-only","low-variance","Van Cliburn International Piano Competition"
2,7,"a",2,0,"Tsugaru shamisen","Audio-only","low-variance","International Michinoku Tsugaru shamisen Competion"
2,22,"b",2,1,"Piano","Audio-only","high-variance","International Franz Liszt Piano Competition"
2,28,"a",1,1,"Tsugaru shamisen","Audio-only","high-variance","International Biwako Tsugaru shamisen Competion"
2,19,"a",2,0,"Tsugaru shamisen","Visual-only","low-variance","International Biwako Tsugaru shamisen Competion"
2,44,"a",2,0,"Violin","Audio-only","low-variance","Queen Elisabeth Competition"
2,72,"b",2,1,"Violin","Audio-Visual","low-variance","Queen Elisabeth Competition"
2,55,"b",1,0,"Tsugaru shamisen","Audio-Visual","low-variance","International Michinoku Tsugaru shamisen Competion"
2,54,"b",2,1,"Tsugaru shamisen","Audio-Visual","low-variance","International Michinoku Tsugaru shamisen Competion"
2,66,"b",2,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Biwako Tsugaru shamisen Competion"
2,69,"b",2,1,"Piano (additional)","Audio-Visual","low-variance","International Franz Liszt Piano Competition"
2,58,"a",2,0,"Tsugaru shamisen","Audio-Visual","low-variance","International Hirosaki Tsugaru shamisen Competion"
2,65,"b",2,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Biwako Tsugaru shamisen Competion"
2,63,"a",1,1,"Piano","Audio-Visual","high-variance","International Franz Liszt Piano Competition"
2,50,"a",2,0,"Piano","Audio-Visual","low-variance","International Franz Liszt Piano Competition"
2,51,"a",2,0,"Piano","Audio-Visual","low-variance","International Franz Liszt Piano Competition"
2,52,"b",2,1,"Piano","Audio-Visual","low-variance","San Marino Piano Competition"
2,57,"b",1,0,"Tsugaru shamisen","Audio-Visual","low-variance","International Biwako Tsugaru shamisen Competion"
2,71,"a",1,1,"Violin","Audio-Visual","low-variance","Joseph Joachim International Violin Competition Hannover"
2,49,"a",2,0,"Piano","Audio-Visual","low-variance","Van Cliburn International Piano Competition"
2,56,"b",2,1,"Tsugaru shamisen","Audio-Visual","low-variance","International Biwako Tsugaru shamisen Competion"
2,53,"b",2,1,"Piano","Audio-Visual","low-variance","Van Cliburn International Piano Competition"
2,59,"b",2,1,"Piano","Audio-Visual","high-variance","Van Cliburn International Piano Competition"
2,70,"a",1,1,"Piano (additional)","Audio-Visual","low-variance","Cleveland International Piano Competition"
2,64,"b",2,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Michinoku Tsugaru shamisen Competion"
2,61,"b",2,1,"Piano","Audio-Visual","high-variance","San Marino Piano Competition"
2,68,"a",1,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Hirosaki Tsugaru shamisen Competion"
2,62,"b",1,0,"Piano","Audio-Visual","high-variance","Van Cliburn International Piano Competition"
2,67,"a",1,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Hirosaki Tsugaru shamisen Competion"
2,60,"a",2,0,"Piano","Audio-Visual","high-variance","International Franz Liszt Piano Competition"
3,4,"a",2,0,"Piano","Audio-only","low-variance","San Marino Piano Competition"
3,12,"b",2,1,"Piano","Visual-only","low-variance","International Franz Liszt Piano Competition"
3,27,"b",1,0,"Tsugaru shamisen","Audio-only","high-variance","International Biwako Tsugaru shamisen Competion"
3,13,"b",1,0,"Piano","Visual-only","low-variance","International Franz Liszt Piano Competition"
3,48,"b",1,0,"Violin","Visual-only","low-variance","Queen Elisabeth Competition"
3,6,"a",1,1,"Tsugaru shamisen","Audio-only","low-variance","International Michinoku Tsugaru shamisen Competion"
3,9,"b",1,0,"Tsugaru shamisen","Audio-only","low-variance","International Biwako Tsugaru shamisen Competion"
3,26,"b",2,1,"Tsugaru shamisen","Audio-only","high-variance","International Michinoku Tsugaru shamisen Competion"
3,41,"a",2,0,"Piano (additional)","Audio-only","low-variance","International Franz Liszt Piano Competition"
3,30,"b",2,1,"Tsugaru shamisen","Audio-only","high-variance","International Hirosaki Tsugaru shamisen Competion"
3,40,"a",1,1,"Tsugaru shamisen","Visual-only","high-variance","International Hirosaki Tsugaru shamisen Competion"
3,44,"a",1,1,"Violin","Audio-only","low-variance","Queen Elisabeth Competition"
3,16,"a",1,1,"Tsugaru shamisen","Visual-only","low-variance","International Michinoku Tsugaru shamisen Competion"
3,45,"b",2,1,"Piano (additional)","Visual-only","low-variance","International Franz Liszt Piano Competition"
3,3,"a",2,0,"Piano","Audio-only","low-variance","International Franz Liszt Piano Competition"
3,39,"a",1,1,"Tsugaru shamisen","Visual-only","high-variance","International Hirosaki Tsugaru shamisen Competion"
3,18,"b",2,1,"Tsugaru shamisen","Visual-only","low-variance","International Biwako Tsugaru shamisen Competion"
3,42,"a",1,1,"Piano (additional)","Audio-only","low-variance","Cleveland International Piano Competition"
3,20,"a",2,0,"Tsugaru shamisen","Visual-only","low-variance","International Hirosaki Tsugaru shamisen Competion"
3,23,"b",2,1,"Piano","Audio-only","high-variance","San Marino Piano Competition"
3,15,"a",1,1,"Piano","Visual-only","low-variance","Van Cliburn International Piano Competition"
3,21,"a",1,1,"Piano","Audio-only","high-variance","Van Cliburn International Piano Competition"
3,29,"a",1,1,"Tsugaru shamisen","Audio-only","high-variance","International Hirosaki Tsugaru shamisen Competion"
3,11,"a",2,0,"Piano","Visual-only","low-variance","Van Cliburn International Piano Competition"
3,36,"b",2,1,"Tsugaru shamisen","Visual-only","high-variance","International Michinoku Tsugaru shamisen Competion"
3,47,"b",1,0,"Violin","Visual-only","low-variance","Joseph Joachim International Violin Competition Hannover"
3,31,"b",2,1,"Piano","Visual-only","high-variance","Van Cliburn International Piano Competition"
3,33,"a",1,1,"Piano","Visual-only","high-variance","San Marino Piano Competition"
3,35,"a",2,0,"Piano","Visual-only","high-variance","International Franz Liszt Piano Competition"
3,46,"a",1,1,"Piano (additional)","Visual-only","low-variance","Cleveland International Piano Competition"
3,34,"b",1,0,"Piano","Visual-only","high-variance","Van Cliburn International Piano Competition"
3,32,"b",1,0,"Piano","Visual-only","high-variance","International Franz Liszt Piano Competition"
3,24,"a",1,1,"Piano","Audio-only","high-variance","Van Cliburn International Piano Competition"
3,5,"b",2,1,"Piano","Audio-only","low-variance","Van Cliburn International Piano Competition"
3,17,"a",2,0,"Tsugaru shamisen","Visual-only","low-variance","International Michinoku Tsugaru shamisen Competion"
3,14,"b",2,1,"Piano","Visual-only","low-variance","San Marino Piano Competition"
3,10,"b",1,0,"Tsugaru shamisen","Audio-only","low-variance","International Hirosaki Tsugaru shamisen Competion"
3,43,"b",1,0,"Violin","Audio-only","low-variance","Joseph Joachim International Violin Competition Hannover"
3,8,"b",2,1,"Tsugaru shamisen","Audio-only","low-variance","International Biwako Tsugaru shamisen Competion"
3,37,"a",2,0,"Tsugaru shamisen","Visual-only","high-variance","International Biwako Tsugaru shamisen Competion"
3,28,"a",1,1,"Tsugaru shamisen","Audio-only","high-variance","International Biwako Tsugaru shamisen Competion"
3,7,"a",2,0,"Tsugaru shamisen","Audio-only","low-variance","International Michinoku Tsugaru shamisen Competion"
3,38,"a",1,1,"Tsugaru shamisen","Visual-only","high-variance","International Biwako Tsugaru shamisen Competion"
3,1,"b",1,0,"Piano","Audio-only","low-variance","Van Cliburn International Piano Competition"
3,2,"a",2,0,"Piano","Audio-only","low-variance","International Franz Liszt Piano Competition"
3,25,"b",2,1,"Piano","Audio-only","high-variance","International Franz Liszt Piano Competition"
3,22,"a",1,1,"Piano","Audio-only","high-variance","International Franz Liszt Piano Competition"
3,19,"b",2,1,"Tsugaru shamisen","Visual-only","low-variance","International Biwako Tsugaru shamisen Competion"
3,62,"a",2,0,"Piano","Audio-Visual","high-variance","Van Cliburn International Piano Competition"
3,50,"a",2,0,"Piano","Audio-Visual","low-variance","International Franz Liszt Piano Competition"
3,54,"b",2,1,"Tsugaru shamisen","Audio-Visual","low-variance","International Michinoku Tsugaru shamisen Competion"
3,66,"b",2,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Biwako Tsugaru shamisen Competion"
3,58,"a",2,0,"Tsugaru shamisen","Audio-Visual","low-variance","International Hirosaki Tsugaru shamisen Competion"
3,59,"b",2,1,"Piano","Audio-Visual","high-variance","Van Cliburn International Piano Competition"
3,63,"b",1,0,"Piano","Audio-Visual","high-variance","International Franz Liszt Piano Competition"
3,55,"b",2,1,"Tsugaru shamisen","Audio-Visual","low-variance","International Michinoku Tsugaru shamisen Competion"
3,56,"b",2,1,"Tsugaru shamisen","Audio-Visual","low-variance","International Biwako Tsugaru shamisen Competion"
3,71,"a",2,0,"Violin","Audio-Visual","low-variance","Joseph Joachim International Violin Competition Hannover"
3,61,"a",2,0,"Piano","Audio-Visual","high-variance","San Marino Piano Competition"
3,67,"b",1,0,"Tsugaru shamisen","Audio-Visual","high-variance","International Hirosaki Tsugaru shamisen Competion"
3,64,"b",2,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Michinoku Tsugaru shamisen Competion"
3,72,"b",1,0,"Violin","Audio-Visual","low-variance","Queen Elisabeth Competition"
3,68,"a",1,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Hirosaki Tsugaru shamisen Competion"
3,52,"a",1,1,"Piano","Audio-Visual","low-variance","San Marino Piano Competition"
3,65,"a",1,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Biwako Tsugaru shamisen Competion"
3,49,"b",1,0,"Piano","Audio-Visual","low-variance","Van Cliburn International Piano Competition"
3,60,"b",2,1,"Piano","Audio-Visual","high-variance","International Franz Liszt Piano Competition"
3,51,"a",2,0,"Piano","Audio-Visual","low-variance","International Franz Liszt Piano Competition"
3,69,"a",1,1,"Piano (additional)","Audio-Visual","low-variance","International Franz Liszt Piano Competition"
3,53,"a",2,0,"Piano","Audio-Visual","low-variance","Van Cliburn International Piano Competition"
3,57,"a",2,0,"Tsugaru shamisen","Audio-Visual","low-variance","International Biwako Tsugaru shamisen Competion"
3,70,"b",2,1,"Piano (additional)","Audio-Visual","low-variance","Cleveland International Piano Competition"
4,3,"a",2,0,"Piano","Audio-only","low-variance","International Franz Liszt Piano Competition"
4,30,"a",1,1,"Tsugaru shamisen","Audio-only","high-variance","International Hirosaki Tsugaru shamisen Competion"
4,16,"a",2,0,"Tsugaru shamisen","Visual-only","low-variance","International Michinoku Tsugaru shamisen Competion"
4,25,"b",1,0,"Piano","Audio-only","high-variance","International Franz Liszt Piano Competition"
4,15,"b",2,1,"Piano","Visual-only","low-variance","Van Cliburn International Piano Competition"
4,42,"b",1,0,"Piano (additional)","Audio-only","low-variance","Cleveland International Piano Competition"
4,19,"b",2,1,"Tsugaru shamisen","Visual-only","low-variance","International Biwako Tsugaru shamisen Competion"
4,14,"b",2,1,"Piano","Visual-only","low-variance","San Marino Piano Competition"
4,32,"b",2,1,"Piano","Visual-only","high-variance","International Franz Liszt Piano Competition"
4,9,"a",1,1,"Tsugaru shamisen","Audio-only","low-variance","International Biwako Tsugaru shamisen Competion"
4,41,"a",1,1,"Piano (additional)","Audio-only","low-variance","International Franz Liszt Piano Competition"
4,11,"a",1,1,"Piano","Visual-only","low-variance","Van Cliburn International Piano Competition"
4,4,"b",1,0,"Piano","Audio-only","low-variance","San Marino Piano Competition"
4,34,"b",1,0,"Piano","Visual-only","high-variance","Van Cliburn International Piano Competition"
4,5,"b",1,0,"Piano","Audio-only","low-variance","Van Cliburn International Piano Competition"
4,6,"a",1,1,"Tsugaru shamisen","Audio-only","low-variance","International Michinoku Tsugaru shamisen Competion"
4,46,"a",1,1,"Piano (additional)","Visual-only","low-variance","Cleveland International Piano Competition"
4,21,"b",2,1,"Piano","Audio-only","high-variance","Van Cliburn International Piano Competition"
4,26,"b",2,1,"Tsugaru shamisen","Audio-only","high-variance","International Michinoku Tsugaru shamisen Competion"
4,17,"b",1,0,"Tsugaru shamisen","Visual-only","low-variance","International Michinoku Tsugaru shamisen Competion"
4,36,"b",1,0,"Tsugaru shamisen","Visual-only","high-variance","International Michinoku Tsugaru shamisen Competion"
4,29,"b",2,1,"Tsugaru shamisen","Audio-only","high-variance","International Hirosaki Tsugaru shamisen Competion"
4,22,"a",1,1,"Piano","Audio-only","high-variance","International Franz Liszt Piano Competition"
4,44,"b",1,0,"Violin","Audio-only","low-variance","Queen Elisabeth Competition"
4,43,"b",2,1,"Violin","Audio-only","low-variance","Joseph Joachim International Violin Competition Hannover"
4,2,"a",2,0,"Piano","Audio-only","low-variance","International Franz Liszt Piano Competition"
4,45,"b",1,0,"Piano (additional)","Visual-only","low-variance","International Franz Liszt Piano Competition"
4,35,"a",1,1,"Piano","Visual-only","high-variance","International Franz Liszt Piano Competition"
4,31,"a",1,1,"Piano","Visual-only","high-variance","Van Cliburn International Piano Competition"
4,12,"a",1,1,"Piano","Visual-only","low-variance","International Franz Liszt Piano Competition"
4,18,"a",2,0,"Tsugaru shamisen","Visual-only","low-variance","International Biwako Tsugaru shamisen Competion"
4,38,"b",2,1,"Tsugaru shamisen","Visual-only","high-variance","International Biwako Tsugaru shamisen Competion"
4,20,"a",1,1,"Tsugaru shamisen","Visual-only","low-variance","International Hirosaki Tsugaru shamisen Competion"
4,7,"a",2,0,"Tsugaru shamisen","Audio-only","low-variance","International Michinoku Tsugaru shamisen Competion"
4,23,"b",1,0,"Piano","Audio-only","high-variance","San Marino Piano Competition"
4,33,"b",2,1,"Piano","Visual-only","high-variance","San Marino Piano Competition"
4,24,"b",2,1,"Piano","Audio-only","high-variance","Van Cliburn International Piano Competition"
4,39,"b",1,0,"Tsugaru shamisen","Visual-only","high-variance","International Hirosaki Tsugaru shamisen Competion"
4,27,"b",2,1,"Tsugaru shamisen","Audio-only","high-variance","International Biwako Tsugaru shamisen Competion"
4,37,"b",2,1,"Tsugaru shamisen","Visual-only","high-variance","International Biwako Tsugaru shamisen Competion"
4,40,"a",2,0,"Tsugaru shamisen","Visual-only","high-variance","International Hirosaki Tsugaru shamisen Competion"
4,13,"b",2,1,"Piano","Visual-only","low-variance","International Franz Liszt Piano Competition"
4,47,"a",2,0,"Violin","Visual-only","low-variance","Joseph Joachim International Violin Competition Hannover"
4,48,"a",1,1,"Violin","Visual-only","low-variance","Queen Elisabeth Competition"
4,28,"a",1,1,"Tsugaru shamisen","Audio-only","high-variance","International Biwako Tsugaru shamisen Competion"
4,8,"b",2,1,"Tsugaru shamisen","Audio-only","low-variance","International Biwako Tsugaru shamisen Competion"
4,10,"a",1,1,"Tsugaru shamisen","Audio-only","low-variance","International Hirosaki Tsugaru shamisen Competion"
4,1,"a",1,1,"Piano","Audio-only","low-variance","Van Cliburn International Piano Competition"
4,50,"b",2,1,"Piano","Audio-Visual","low-variance","International Franz Liszt Piano Competition"
4,68,"b",2,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Hirosaki Tsugaru shamisen Competion"
4,69,"a",1,1,"Piano (additional)","Audio-Visual","low-variance","International Franz Liszt Piano Competition"
4,65,"b",2,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Biwako Tsugaru shamisen Competion"
4,55,"a",2,0,"Tsugaru shamisen","Audio-Visual","low-variance","International Michinoku Tsugaru shamisen Competion"
4,51,"a",1,1,"Piano","Audio-Visual","low-variance","International Franz Liszt Piano Competition"
4,58,"a",2,0,"Tsugaru shamisen","Audio-Visual","low-variance","International Hirosaki Tsugaru shamisen Competion"
4,60,"b",1,0,"Piano","Audio-Visual","high-variance","International Franz Liszt Piano Competition"
4,57,"b",2,1,"Tsugaru shamisen","Audio-Visual","low-variance","International Biwako Tsugaru shamisen Competion"
4,61,"a",1,1,"Piano","Audio-Visual","high-variance","San Marino Piano Competition"
4,52,"b",2,1,"Piano","Audio-Visual","low-variance","San Marino Piano Competition"
4,56,"b",1,0,"Tsugaru shamisen","Audio-Visual","low-variance","International Biwako Tsugaru shamisen Competion"
4,71,"a",1,1,"Violin","Audio-Visual","low-variance","Joseph Joachim International Violin Competition Hannover"
4,49,"a",1,1,"Piano","Audio-Visual","low-variance","Van Cliburn International Piano Competition"
4,66,"a",1,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Biwako Tsugaru shamisen Competion"
4,70,"a",1,1,"Piano (additional)","Audio-Visual","low-variance","Cleveland International Piano Competition"
4,64,"a",1,1,"Tsugaru shamisen","Audio-Visual","high-variance","International Michinoku Tsugaru shamisen Competion"
4,62,"a",1,1,"Piano","Audio-Visual","high-variance","Van Cliburn International Piano Competition"
4,59,"a",1,1,"Piano","Audio-Visual","high-variance","Van Cliburn International Piano Competition"
4,63,"a",1,1,"Piano","Audio-Visual","high-variance","International Franz Liszt Piano Competition"
4,54,"a",2,0,"Tsugaru shamisen","Audio-Visual","low-variance","International Michinoku Tsugaru shamisen Competion"
4,72,"a",1,1,"Violin","Audio-Visual","low-variance","Queen Elisabeth Competition"
